id,level1_state0_dur,level1_state1_dur,level1_state2_dur,level2_state0_dur,level2_state1_dur,level2_state2_dur,level3_state0_dur,level3_state1_dur,level3_state2_dur,level4_state0_dur,level4_state1_dur,level4_state2_dur,level5_state0_dur,level5_state1_dur,level5_state2_dur,level6_state0_dur,level6_state1_dur,level6_state2_dur,level7_state0_dur,level7_state1_dur,level7_state2_dur,level8_state0_dur,level8_state1_dur,level8_state2_dur,level9_state0_dur,level9_state1_dur,level9_state2_dur,level10_state0_dur,level10_state1_dur,level10_state2_dur,level11_state0_dur,level11_state1_dur,level11_state2_dur
14409,6267,0,7987,6348,0,10998,9550,0,7992,18435,9982,7991,19349,9997,7992,18042,9982,7991,6598,0,7992,9383,7993,7994,10524,7991,7993,10540,7992,7991,10191,0,7992
14410,6263,0,7991,6348,0,10998,9537,0,7992,18433,9995,7992,19338,9996,7992,18056,9999,7990,6599,0,7992,9372,7993,7991,10541,7990,7991,10566,7991,7992,10190,0,7992
14412,6263,0,7991,6348,0,10984,9550,0,7991,18421,9952,7993,19366,9998,7992,18039,9998,7991,6585,0,7992,9369,7993,7991,10540,7991,7990,10537,7992,7994,10205,0,7991
14413,6263,0,7992,6348,0,10985,9538,0,7991,18449,9997,7992,19339,9996,7991,18030,9995,7990,6599,0,7991,9371,7992,7990,10540,7990,8005,10553,7991,7993,10177,0,7991
14415,6249,0,7991,6333,0,10985,9537,0,7991,18279,9982,7880,19330,10000,7993,18044,9996,7991,6583,0,7994,9369,7993,7992,10539,7991,8006,10553,7991,7992,10205,0,7992
14416,6216,0,7991,6361,0,10986,9551,0,7992,18401,9914,7922,19321,9998,7993,18027,9984,7992,6584,0,7991,9355,7993,7992,10550,7993,7992,10555,7993,7991,10190,0,7991
14417,6246,0,8001,6347,0,10999,9540,0,8002,18428,10000,7984,19390,9982,8001,18067,10002,7986,6610,0,7987,9372,8002,8000,10570,7999,7985,10567,7987,7998,10207,0,7986
14418,6276,0,7993,6349,0,10998,9535,0,7992,18447,9997,7993,19270,9969,7992,18055,9983,7992,6586,0,7992,9370,7991,7991,10552,7990,7993,10246,7950,8005,10191,0,7990
14420,6263,0,7992,6364,0,10996,9552,0,8004,18447,9997,7993,19349,9998,7990,18030,9998,7992,6598,0,7992,9370,7992,7992,10539,7990,7992,10539,7992,7992,10191,0,7991
14421,6275,0,7987,6347,0,11000,9554,0,7986,18457,9990,7987,19331,9887,8000,18052,9999,8000,6595,0,7987,9375,7999,8000,10556,7999,8001,10566,7988,8000,10193,0,8001
